Original_Dialect,MSA_conversion
مطلعنة اختة لايخليها تطلع مظاهرات لافد شفنالها نشاط متمشية بمول ويطالب النسوان يطلعن مظاهرات ويقشمر بيهن,لقد أخرجت أخته، ولا يسمح لها بالخروج إلى المظاهرات، لم نرها تفعل شيئًا، فقط تمشي في المول، وهو يطالب النساء بالخروج إلى المظاهرات، ويخدعهن.
ياخي مشكله بس تعال فهم الحصينيه اللي عدنه,يا أخي، المشكلة أنك لا تفهم الحصانة التي لدينا.
يهينها يباركلها مافهمت الموضوع,إنه يهينها ويبارك لها في نفس الوقت، لم أفهم الموضوع.
حقك انت ولت بيت مشبوه بيت دعاره الكلام متوقع منك ماتشابكو الرجال خرجت انت يعرف تغلب لذالك ضاع نسبك فكيف تقيم المرأة وانت امك زانية,من حقك أنت، يا من خرجت من بيت مشبوه، بيت دعارة، هذا الكلام متوقع منك، لا تتشابكوا، الرجال خرجوا، أنت تعرف كيف تغلبهم، لذلك ضاع نسبك، فكيف تقيم المرأة وأمك زانية؟
وانتي ابخير حياتي,وأنت بألف خير، حياتي.
والله العضيم ماتوقعتك هيج لهل درجة يا مال بس كلي حركة وتغريدة يسويه سيد تنتقد وتحجي جنك خوش تعليمات الجايتك هيج حازمة وياك مو توصل لهل مرحلة ناس دكوم تكشفك شوية شوية حقيقتك حقد السيد مقتدى ماعرف ليش شبيه تغريدة وين المنصفين أساء ولو بكلمة المرأة,والله، لم أتوقع أن تكوني هكذا، إلى هذه الدرجة، يا من لا شرف لك، فقط أخبريني، ما هي الحركة أو التغريدة التي سيفعلها السيد، أنت تنتقدين وتتحدثين كما لو كنت تعرفينه جيدًا، التعليمات التي تأتيك صارمة، لقد وصلت إلى هذه المرحلة، الناس يكشفونك شيئًا فشيئًا، حقيقتك هي الحقد على السيد مقتدى، لا أعرف لماذا، هذه التغريدة، أين المنصفون؟ لقد أساء، ولو بكلمة، إلى المرأة.
ليش كاتب المقتدى انت باعترافك مقتدى نكره مو مومو ضل راوح بمكانك حبيبي احب اكول تعرف فدائي صدام مو هسه وينهم راحو انتو تروحون والحبل عالجرار,"لماذا تكتب ""المقتدى""؟ أنت تعترف بأن مقتدى نكرة، ليس له وجود، ابق في مكانك، حبيبي، أحب أن أقول لك، هل تعرف فدائيي صدام؟ أين هم الآن؟ أنتم أيضًا ستذهبون، والحبل على الجرار."
انت حمود,أنت حمود.
وربي شيكول الغايد وطاعه بدون تفكير البهايم رزلهم يشكرو شنو عقول عليهم الله يطح حضهم حبيبي,والله، إنه يقول ما يقوله مرشده، والبهائم يرددون وراءه، ما هذه العقول؟ عليهم أن يخجلوا من أنفسهم، حبيبي.
متمشي بسفارة يشتغل خطين بالتمويل يتعامل رغد يفارق العراق يزرع فتن عميل عنده,إنه يتمشى في السفارة، يعمل على خطين في التمويل، يتعامل مع رغد، يغادر العراق، يزرع الفتن، إنه عميل.
بدال انشر ستوري المرأة العالمي خو اغير أسلوبي وية بنات مچتمعي احسن اضل أنافق هواي ناشرين المرأة العالمي حاطين ابالهم يتعامل وية البنية كأنسان مجرد شي يحصله بالچذب وينساه يمل,بدلًا من نشر ستوري عن يوم المرأة العالمي، سأغير أسلوبي مع بنات مجتمعي، من الأفضل أن أنافق، الكثيرون نشروا عن يوم المرأة العالمي، يفكرون في التعامل مع المرأة كإنسان، مجرد شيء يحصلون عليه بالكذب وينسونه.
جاي يهين المتشبه بالرجال واللي يستغل النساء لاجل شي قذر ويدفعهة لابتعاد الله تعالى ومخالطة الرذيلة يالمنافق دقرة زين انتة موافق عالمعصية لاتدعو الهة لان مو الناس مثلك منافقة وعايشة بمعصي,إنه يهين المتشبهين بالرجال، والذين يستغلون النساء لأشياء قذرة، ويدفعهن إلى الابتعاد عن الله ومخالطة الرذيلة، أيها المنافق، لقد أصبت الهدف، أنت توافق على المعصية، لا تدعو الله، لأن الناس ليسوا منافقين مثلك، ويعيشون في المعصية.
انت هايشه شتفتهم حته تحجي السي,أنت حيوان، ماذا ترى لكي تتحدث؟
عاشت ايد,عاشت يدك.
جاوبتني بشبش لتعتبره حسد نعمة بس ردت اعرف اواشكد اتفقتوا بالاخير طاح حظج امريكا,لقد أجبتني بسرعة، لا تعتبره حسدًا، لكني أردت أن أعرف إلى أي مدى اتفقتم في النهاية، لقد سقطت، وأمريكا أيضًا.
سجاد تره تلث مرات گال شهوتها لعبت نفسي الكلمه مُقرفه السيد شنو يشوف المرأه العراقيه مشتهيه جديات داكتب الكلام وخجلانه متقزه بس نقلاً كلام السيد السيد اهان المرأه ولو ساكت احسن بس لازم بكلشي يشارك مايعرف سبب المرأه الانسان يتثقف ويتكلم يسكت,"سجاد، لقد قال ثلاث مرات ""شهوتها""، هذه الكلمة مقززة، ماذا يرى السيد في المرأة العراقية؟ إنه يشهونها، لقد كتب هذه الكلمات، وأنا أشعر بالخجل، إنه يقززني، لكنني أنقل كلام السيد، السيد أهان المرأة، كان من الأفضل أن يصمت، لكنه يشارك في كل شيء، ولا يعرف سبب وجود المرأة، الإنسان يتعلم ويتكلم، وإذا لم يعرف، فليصمت."
بالعكس هوايه خسر شعبيته ورا سوه مجزره النجف وتناقضاته خبلت عبيد,على العكس، لقد خسر شعبيته بعد مجزرة النجف، وتناقضاته جعلت أتباعه حمقى.
وربي القصف بمكانه عاشت ايدك,والله، القصف في محله، عاشت يدك.
تريد العراقيات خالاتك بساحات الاعتصام جروا اذنهن,تريد من العراقيات أن يكن مثل خالتك مهرة العزاوي في ساحات الاعتصام؟ اسحب أذنها.
اعلم مضروباً صباه رأسه,اعلم أنه تعرض للضرب في صباه.
مقتدى مخبل وما حر,مقتدى مجنون، ولا يفهم.
اتربد العراقيات خالتك مهره العزاوي,إنه يريد من العراقيات أن يكن مثل خالتك مهرة العزاوي.
رادين احمد,نحن قادمون، يا أحمد.
انت دين ماعندك وسافل تسافل بكلامك الغير فشهادتك بالغير متخلفة لاكثر الاف وكأننا نسمع تجحيشة وليست تغريدة تنافي الناموس الانسانية وتنافي العقل والمنطق الاخلاقي فشتان ربيب العاهرات وربيب بيوتات العلم والعقيدة والاخلاق الانسانية وسليل العترة الطاهرة ياسلي,أنت لا دين لك، وسافل، وتفاهاتك غير أخلاقية، فشهادتك على غير المتعلمين هي شهادة متخلفة، كأننا نسمع تجحيشًا، وليس تغريدة، تنافي الناموس الإنساني، والعقل، والمنطق الأخلاقي، شتان بين ربيب العاهرات، وربيب بيوتات العلم والعقيدة والأخلاق الإنسانية، وسليل العترة الطاهرة، يا سليط اللسان.
كلما حجه شي مطيهم كالوا ابن سفارة,في كل مرة يقول فيها شيئًا، أتباعه الحمير يرددون وراءه، إنه ابن سفارة.
عبيط,أحمق.
هوة انتي كتبتي لاكن بهاذا الإملاء عرفتج غوغو واهلج انطوج تليفون بس معرفو ينطوج تربيه ولو اني شترجه منج تبعين مقتدى البهيمه ماتعرف شي ورا الراعي وين ميروح طاح حضج وحض السيد الغايد وياج ها ها خلي اختمهة بطيعي واسكتي حبيبي تبعيه طاح حضكم,أنت كتبت هذا، لكن بهذا الإملاء، عرفتك، أنت غوغو، وأهلك أعطوك هاتفًا، لكنهم لم يعلموك التربية، على الرغم من أنني أشفق عليك، أنت تابع لمقتدى البهيمة، لا تعرف شيئًا، أنت فقط تتبع مرشدك، أينما يذهب، لقد سقطت، وسقط مرشدك معك، ها ها، دعيني أنهيها بطريقتي، واسكتي، حبيبتي، اتبعيه، لقد سقطتما.
اكل خره وسكت يا دود,كُل البراز واسكت، أيها الدود.
مكضيه يكتل شبابنا حسبي الله ونعم الوكي,لقد قضى على شبابنا، حسبي الله ونعم الوكيل.
مقتدى السطل ابن السطل شكد طليا,مقتدى السطل، ابن السطل، كم هو مغفل!
بربكم تبطلون السوالف مو عيب صارلة شهور خاتل بعباية خامنئي شبيكم رحمة لله بعدين خاف ناسين نذكركم مو انتوا كمتوا تبوسون بقنادر بوش يخلصكم صدام صدام العار طلعته امريكا خليتونه نتمنى تدخل مرة ثانية وتخلصنا عاركم الجبير والعارات الباقين انتوا ابقوا عبي,بربكم، ألا يمكنكم التوقف عن هذه الأحاديث؟ إنه عيب، لقد اختبأ في عباءة خامنئي منذ شهور، ما بكم؟ رحمة الله عليكم، ثم، هل نسيتم أن تذكروا أنكم كنتم تقبلون أحذية بوش؟ صدام، يا عار، أخرجته أمريكا، جعلتمونا نتمنى تدخلها مرة أخرى لتخلصنا منكم، عاركم كبير، والعار الأكبر أنكم ما زلتم هنا.
يكفي للرجل يعرف ماهية المرأة ودورها عنده أخت زوجة بنت ولايحتاج عندئذ يقتفي بنات الناس بالمولات والكافتريات والمتنزهات ياتافه يازنانه,يكفي أن يعرف الرجل ماهية المرأة ودورها عنده، أخت، زوجة، ابنة، ولا يحتاج بعد ذلك إلى تتبع بنات الناس في المولات والكافتيريات والمتنزهات، يا تافه، يا زاني.
ذيل مو,أنت ذيل، لست كذلك؟
اني رايح لرواد ولازم سره الصمون وحتى النفط ومفرفر بمول وكاعد بكافتريا الكلية وصاعد بالكيا ومصلحة ام الطابقين ومساعد حجيات وحجاجي ومشتغل بشركات بس رايح لزوراء بالعيد حروح بس افتهم المرأة مو انت تسوقها,أنا ذاهب إلى رواد، ويجب أن آخذ الصمون، وحتى النفط، وأتجول في المول، وأجلس في كافتيريا الكلية، وأركب الكيا، وأصلح أم الطابقين، وأساعد العجائز، وأعمل في الشركات، لكنني ذاهب إلى الزوراء في العيد، أريد فقط أن أفهم المرأة، ليس أنت من تقودها.
استهزاء بارادة شعب وهم يسوها مايهمهم شعب وانما ارضا ايرا,إنها سخرية من إرادة شعب، وهم يفعلون ما يريدون، لا يهمهم الشعب، بل أرض إيران.
دزلي اختك والك مني مالت تعبيت,أرسل لي أختك، وسأحصل منك على المال.
خاف صاكلك ربع جاي اتشخبط بافكارك ركز حبيبي اسكت,ربما صديقك سكران، وأنت تشخبطن أفكاره، ركز، حبيبي، اصمت.
مو بعدين تجون توسلون,لا تأتوا لاحقًا وتتوسلوا.
حديث الستر والحشمة طبعا يسترك لان متعرف هالسوالف حق,حديث الستر والحشمة، بالطبع، يسترك لأنك لا تعرف هذه الأمور.
احمد البشير مليت التبسمر والحجي الملّغم,لقد مللت من أحمد البشير، وكلامه الملغز.
ممكن تنطيني صدري مقتدى وهسة ضدة ترة ماعندة شعبية عندة عقيدة والانتخبات التجي مقعد برلماني,من الممكن أن تعطيني صدر مقتدى، الآن أنا ضده، ليس لديه شعبية، لديه عقيدة، وفي الانتخابات القادمة، سيحصل على مقعد برلماني.
بس تدعم الذكور لذكور اقصد,أنت فقط تدعم الذكور للذكور، أقصد الذكور المثليين.
هاي تاليتكم,هذه نهايتكم.
غلطان انت عايش بزمن اقدم,أنت مخطئ، تعيش في زمن قديم.
شايفه هيج ناس تموت وتعيش المذله الله يعينكم عقولكم العبيد تمطر حريه تشوف اغلب الناس تلبس مظله لان العبد يموت ويعيش عبد اكيد كلنه عباد الله بس انتو تموتون المهانه صدكين,أرى أناسًا يموتون ويعيشون الذل، الله يعينكم، عقولكم العبيد تمطر حرية، أرى أن معظم الناس يرتدون المظلات لأن العبد يموت ويعيش عبدًا، نحن جميعًا عباد الله، لكنكم تموتون من المهانة، صدقيني.
يبارك ويقوم ويوضح يبارك للمرأة بما مرأة مصانة الشخصية والذات الانسانية ويقوم تسافل شخصها المعنوي نتيجة تصوير الثقافة الغربية للمرأة العربية والمسلمة بأنها مغتصبة الحق والشأن والذات بينما شرعنا المقدس يصون حقوقها ويحفظ مكانتها الاجتماعية ويوضح لجهلة المرأة مشروع,إنه يبارك ويقوم ويوضح، يبارك للمرأة كونها امرأة مصانة الشخصية والذات الإنسانية، ويقوم تسافل شخصها المعنوي نتيجة لتصوير الثقافة الغربية للمرأة العربية والمسلمة على أنها مغتصبة الحق والشأن والذات، بينما شرعنا المقدس يصون حقوقها ويحفظ مكانتها الاجتماعية، ويوضح للجهلة أن المرأة مشروع.
اللهم احفظ النساء العراقيات ونساء العالم اجم,اللهم احفظ النساء العراقيات ونساء العالم أجمع.
والقائد المقتدى اعزه الله جر اذاناتكم ودمركم انتم يا عملاء وكل تبع,والقائد مقتدى، أعزه الله، جر أذنابكم ودمركم، أنتم يا عملاء وكل من يتبعكم.
رايح لقم شايف ايران حبيبي,أنت ذاهب إلى قم، أليس كذلك؟ أراك في إيران، حبيبي.
حرفيا تنطبق راعي الاصلا,"حرفيًا، أنت تنطبق عليك ""راعي الأصلع""."
هاني رمزي رمزي هاني ول,هاني رمزي، رمزي هاني، ول.
انت تمسل,أنت تمثل.
احترم عقلك ياسفيه وعرف حجمك,احترم عقلك، أيها السفيه، واعرف حجمك.
يعوزك جرت اذن,أنت بحاجة إلى من يسحب أذنك.
هسة ليش تلفينهة موضوع ماصدكتي بالبيان موقع جريدة مصرية ناشرتة مر ذنبنا وثيقة مسربة تكشف دعم الدول لناش,الآن، لماذا تحرفين الموضوع؟ ألا تصدقين البيان؟ الموقع لجريدة مصرية نشرته، ما ذنبنا؟ إنها وثيقة مسربة تكشف دعم الدول للناشطات.
انت شتريد بالضبط يعني وين تريد توص,ماذا تريد بالضبط؟ أين تريد أن تصل؟
احمد البعير شكد تحب تسمع اهانات يعني معقولة حسمك يحك تسمع اهانات ترتاح ولو ادري الله غاسلك ولازم ينغلط يله ترتاح لان مستواك ومستوى اللي تتبعهم واللي يتبعو,أحمد البعير، كم تحب أن تسمع الإهانات؟ هل من المعقول أن جلدك يحك عندما تسمع الإهانات، وترتاح عندما تُهان؟ لأن مستواك، ومستوى من تتبعهم، ومن يتبعوك، هو هكذا.
وانتي شنو مقتدى وتحاسبين العالم عليج بروحج وعائلتج اكو شي اسمه حريه الله يخليج محاسب للعالم حاسبيه,وأنت، ما هو مقتدى بالنسبة لك؟ وتحاسبين العالم على أفعالك، أنت وعائلتك، أليس هناك شيء اسمه حرية؟ الله يخليك، أنت تحاسبين العالم، حاسبيه.
اخرسي يا سليلة السفاح انتي واخويكي مزبلة التاريخ,اخرس يا سليل السفاح، أنت وأختك، مزبلة التاريخ.
هسه شديحجي كلشي مفهمت,الآن، ماذا يقول؟ لم أفهم شيئًا.
مبروك طول ذيلج سانتي,مبروك، لقد طال ذيلك سانتي.
امثالك نبقه نحجي وياه الفين سنه يبقه عقله محش كلشي يفته,مثل أمثالك، سنتحدث معه ألف سنة، وسيظل عقله محشوًا، ولن يفهم شيئًا.
كد افليساتك مو تروح بعي,أين تذهب بفلوسك؟ لا تذهب بعيدًا.
جا عمت عينجن يادايحات ضليتن تحكن بي هاي التغريده وكل وحده طلعت لسانها بكد النعال دايحات بالمولات بالشركات بالفران مالت الصمون بكافتريات الكليات تمضحكن يا برابيج هاي الدكه جا شو ماجبت طاري الكحاب اختك وامك وين هاي العدتهن,يا عاهرات، استمررن في الحديث عن هذه التغريدة، وكل واحدة منكن أخرجت لسانها بطول النعال، عاهرات في المولات، والشركات، وفرن الصمون، وكافتيريات الكليات، تضحكن يا برابيج، هذه الدكة، لماذا لم تأتوا على ذكر العاهرات، أختك وأمك، أين عاداتهن؟
خطيه اعرض اختك وخليها تفتر وياه بالمولات وشوفه رح يعترف بيوم المرأة,مسكين، اعرض أختك، واجعلها تتجول معه في المولات، وانظر، هل سيعترف بيوم المرأة؟
يموتون الغرف المظلمه,إنهم يموتون في الغرف المظلمة.
والله ترضى عنك اليهود النصارى تتبع ملتهم مقتدى الصدر حق تخلف باط,والله، اليهود والنصارى سيرضون عنك، أنت تتبع ملتهم، مقتدى الصدر، حقًا، أنت متخلف.
ليش لي عايشين بسنه محد يقرالهم اشو كاعد نقرة هاي السنه وكأنه يومنا شنو المشكله لعله الكلام منطبق النساء الزمن بالسنين الجاية تلكاه ينطبق بس تريد تعترض يعني اق,لماذا نعيش في هذه السنة، لا أحد يقرأها، يبدو أننا في نقرة هذه السنة، ما المشكلة؟ ربما الكلام ينطبق على النساء، في السنوات القادمة، ستجدينه ينطبق، لكنك تريد أن تعترض، حسنًا.
يي اكو ناس تركته لان شافته متناقض والكابتن بالسلطه صح هالناس قليله حيل بس المشكله بقيه المطايه ماكو براسها عقل وتاج راسهم هوه يفكر بدالهم يي مقعد برلماني وتكولون القائد المصلح,نعم، هناك أشخاص تركوه لأنهم رأوه متناقضًا، والقائد في السلطة، هؤلاء الناس قليلون جدًا، لكن المشكلة هي بقية الحمير، ليس لديهم عقل في رؤوسهم، وتاج رؤوسهم هو من يفكر نيابة عنهم، يريدون مقعدًا برلمانيًا، ويقولون إنه القائد المصلح.
شبعوثي خلي يولي,دعه وشأنه!
والله العظيم ركزت فد مره وما طلعت بنتيجه تاليها حبايه بندول ام الألف ربي تاخذه تاخذنا لويبطل تغريد مو موتن,لقد ركزت بجدية مرة واحدة ولم أصل إلى نتيجة، وفي النهاية، تناولت حبة بندول. يا رب، خذه أو خذنا، أو على الأقل دعها تتوقف عن التغريد، إنها ليست بالموت.
شنو سرايا السلام صايرين وزارة الخارجية منفذ حدودي لحد لهاي العقول المريض,ما الأمر؟ هل أصبحت سرايا السلام وزارة خارجية أو منفذًا حدوديًا؟ إنها لعقول مريضة!
هاذا رئيس تركيا رايدله جرد اذ,هذا رئيس تركيا، إنه بحاجة إلى كلب ليتبع أثره.
ممكن تسألونه شمو معنى شد رايتك لأنه عضو بخلية الأزمه المسؤوله حياتنا صحتنا,"هل يمكن أن تسأله ما معنى شد رايتك""؟ فهو عضو في خلية الأزمة المسؤولة عن حياتنا وصحتنا."
يعني هسة مقتدى مدعوم الدثو الاثول وحدة هيج عندة نفوذ وقوة الاسف بلد عمره يصفى الجهلة والمزعطة بس يجيه ينسحل حاله حال سبقه جرذان وضيعة ثبتت وصمة عار العراق واثبتت روحها بالجهل والتبعية وانتوا تصحون,كيف لمقتدى أن يحظى بكل هذا الدعم والنفوذ والقوة؟ إنه لأمر مخزٍ أن هذا البلد لم يتخلص من الجهل والفوضى. سيأتي يوم ينسحب فيه مقتدى، مثله مثل الجرذان الوضيعة التي سبقته، والتي وصمت العراق بالعار وأثبتت جهلها وتبعيّتها.
الحمدلله حققت نجاحات المستوى الاجتماعي والمادي والعلمي كله بفضل الله ومساندة المرأه,الحمد لله، لقد حققت نجاحات على المستوى الاجتماعي والمادي والعلمي، وكل ذلك بفضل الله ودعم المرأة.
واضح ديزحف حنان,من الواضح أن حنان تتملق إليك.
هسه عوفك شو ماعايدتنا,الآن، دعك من أنه لم يهنئنا.
شلون مجتمع زبالة يهان اللي وصله هالمجتم,كيف لمجتمع مثل هذا أن يهين شخصًا وصل إلى ما وصل إليه؟
مو دفاعاً اصلا اني متابعته بس جذبتني تغريدت,لست أدافع عنه، فأنا لست من متابعيه، ولكن تغريداته جذبتني.
اكو ناس عرفتة قاتل عافتة وبس ماعندة عقل وحيوان ذيل بقة يتبع مقتدى,هناك أشخاص عرفوا أنه قاتل ورفضوه، فهو لا يملك عقلًا، إنه حيوان يتبع مقتدى.
التيار الصدري مايقبل عمي ماتسكتو,يا عمي، التيار الصدري لا يقبل بهذا، لا تصمتوا.
رغم ملاحظاتي سيد مقتدى كلامج جارح لذوق العام حد القرف ليش الكلام يزيح الستار ستر المراءة,على الرغم من ملاحظاتي، يا سيد مقتدى، كلامك جارح لذوق العامة لدرجة القرف. لماذا يجب أن يكشف الكلام الستار عن المرأة؟
اني اسف جداً جان قصدي اكتب وحيد واسف مرة ثانية واتمنى الشفاء لبنتك,"أنا آسف جدًا، كنت أقصد أن أكتب ""وحيد""، وأعتذر مرة أخرى، وأتمنى الشفاء لابنتك."
رزاله بمناسبة يومها الأغبر طاح حظك مقتدى بكلشي أثول فاضحنه,في يومه الأغبر، أقول: تباً لك يا مقتدى، أنت أحمق في كل شيء، لقد فضحتنا.
بو,"""يا له من أحمق!"""
انتة مطي ابن مطي اشفهم,أنت حمار ابن حمار، ما خطبك؟
انت اعرف بالنساء لان صنف,أنت تعرف النساء جيدًا لأنك من صنفهم.
بس انجب وافهم اشوية ازبال,لكن أنجب وافهم قليلًا، أيها الأحمق.
هاي مواصفات,هذه ليست مواصفات.
المعزول الشعب والوطن مايربطه بيه تويتر مو بنصهم وبإشاره تطلع الملاي,الشعب والمعزول والوطن لا يربطه به سوى تويتر، إنه ليس من بينهم، وبإشارة منه، يخرج الآلاف.
انسطر واسكت حبيبي سمعن وطاعتن,اصمت واسمع وأطع!
بس اوضح شغله صغيره تره مقتدى مو اخوي اعرفه اصلا خوش,أريد فقط أن أوضح شيئًا صغيرًا، مقتدى ليس أخي، أنا لا أعرفه أصلًا، إنه شخص جيد.
يعني تريده ينضر لمرأه ماتنضرله انت هوه امه علويه متحشمه بحشمة الزهراء فينضر لمراه بعفه وحتوام وامك انت جانت تشتغل شغلتين حفافه فانت نضيره المتناقض فمالومك تحجي,هل تريد منه أن ينظر إلى امرأة لا تنظر أنت إليها؟ أمه علوية محتشمة بحشمة الزهراء، فكيف ينظر إلى امرأة أخرى بعفة واحترام؟ أما أمك، فكانت تعمل عملين، أحدهما حلاقة، فلا تلومه على نظرته المتناقضة.
مجتمعك زبالة غيره,مجتمعك هو المجتمع القمامة، وليس غيره.
ياكليه اقص المراحل مخلص بتدائيه مال حوز,يا أكيل، لقد أنهيت جميع المراحل الدراسية، لكنك ما زلت في المرحلة الابتدائية من الحوزة.
انجب الزانية قردالسفار,أنجب من الزانية، يا قرد السفارة.
خواتك يفرفرن بالمول,أخواتك يتجولن في المول.
خل يطلعن كرايبك يفترن بلمول يلزمن سره الصمون يعني وين الغيره بس اريد افتهم بس هوا اليترك العراق ويشتغل لسفاره شترجه امدا شوارب,"دع أقاربك يتجولون في المول، دعهم يصطفون لشراء الصمون، أين غيرتهم؟ أريد فقط أن أفهم، لماذا يغضب فقط عندما يترك شخص ما العراق للعمل في السفارة؟"""
متمشي بسفارات صاير ذيل للاحزاب مهرج باليوتيوب والقنوات سهران بملاهي الدعارات اكيد تفكيره تفكيرك القذر,إنه يتجول في السفارات، وأصبح ذيلاً للأحزاب، مهرج على اليوتيوب والقنوات، يسهر في ملاهي الدعارة، بالتأكيد تفكيره مشابه لتفكيرك القذر.
خلصن الخمس دقايق وين صارت وثيقتج نور عبقرينو بس بالحجي والتهمبل فالحين,لقد انتهت الخمس دقائق، فأين وثيقتك يا نور عبقرينو؟ أنت بارع فقط في الكلام والثرثرة.
شلون قتل بلة لعد كلتو علية قاتل ومحبية يكثرون مينقصون عدكم عقل انتو حقد دفين براسكم,كيف قتلت ذلك الشخص؟ إذا كان الكثيرون يتهمونك بالقتل، فهناك بالتأكيد بعض الحقيقة في هذه الاتهامات. هل لديكم عقل؟ إنكم تحملون حقدًا دفينًا في رؤوسكم.
شوكت يلصم,متى سيصمت هذا الشخص؟
مجتمع الجراوي اقصد بكل اصنافهم واكيد موازي لمجتمع عبيد السيد بالانحطاط,مجتمع الكلاب، أقصد بجميع أصنافهم، وهو بالتأكيد يوازي مجتمع عبيد السيد في الانحطاط.
المهم انطيتج دليل عمالة كلام واتهامات فارغة تحياتي,على أي حال، لقد أعطيتك دليلًا على العمالة، أما كلامك فهو مجرد اتهامات فارغة. تحياتي لك.
بالكصه,بالضبط!
اخوان افتهمتو شي كلول,يا عزيزي، هل فهمتم شيئًا مما قاله؟
ترا قصده واضح قصف, إنه يقصد شيئًا واضحًا.
ضاغطك وشاغل بالك,إنه تحت الضغط ويشغل باله.
عزيزي لنأخذك قدر عقلك نخبرك بما حجودة لك حسنا والده يناديه المقتدى ذكره المقتدى أحدى قصائده الأولياءيستشهدون أحياء ربهم يرزقون الطغاة يقتلون شر قتلة يموتون ليكونو حطبا لجهنم قعرها يستقرون لحد يزعل المرأة سيدة العفه المقتدى,"عزيزي، سنعاملك على قدر عقلك، وسنخبرك بما قاله. حسنًا، والده يناديه المقتدى""، وأحد قصائده الأولى كانت عن الأولياء. ""يستشهد الأولياء أحياء، ربهم يرزقهم، والطغاة يقتلون شر قتلة، يموتون ليكونوا حطب جهنم، في قعرها يستقرون. لا تغضب، فالمرأة سيدة العفة، المقتدى""."
قل لمطايا كبرت معالفها يسبقن الخيل ركض الميادين قردالسفارة يولوا الملاهي يولوا,قل للعبيد الذين كبرت معالفهم، إنهم يسبقون الخيل ركضًا في الميادين. يا قرد السفارة، ابتعد عن الملاهي.
مو رفيقات هيومه,إنهم ليسوا رفيقات هيومه.
طبعاً لازم بتغريدتة سر كبير اسم التغريدة بيه شي والله والله احنة ماتابعينة بكدكم الحقد يقودكم شنو ونوب اليعلقولك مكيفين بس يردون يحجي عجيب لهل درجة بس تريد طيحة تموت متكدر انت والعالم كلة,بالتأكيد، هناك سر كبير في تغريدته، فالاسم يحمل معنى ما. والله، والله، نحن لا نتابعه، لكن حقدكم هو ما يقودكم. أنت سعيد جدًا بمن يردون على تغريداتك، أليس كذلك؟ إنه لمن العجب أن يصل الأمر إلى هذه الدرجة. أنت تريد فقط أن يسقط ويُهزم، أليس كذلك؟ أنت والعالم كله لا تستطيعون ذلك.
تصحيح حج,تصحيح ما قاله
جهلة طيع,جهلة أتباع
بس هكر حساب ونشر فضايحه,لقد تم اختراق حسابه ونشر فضائحه.
المهم خيتي اتهمتج بشيء عميل يحجي بتوجيه السفارة,على أي حال، أختي، لقد اتهمك هذا الشخص العميل بشيء ما، وهو يتحدث بتوجيه من السفارة.
زلمة هوة مو دثو مثلك,إنه رجل، وليس أحمقًا مثلك.
شتريد جايك اجزاء لكدا,ما الذي تريده منه؟ سأحضر لك الأدلة.
عيني مقتدى فضل بوش وأمريكا جان يحلم يطلع صوت أحفاد احفادة بالعراق سفارة,عزيزي، لولا فضل بوش وأمريكا، لما كان ليحلم بأن يسمع صوت أحفاد أحفاده في العراق، ناهيك عن وجود سفارة.
چنت اتوقع الاضافة مبنية اساس نحوي شي يعني هسة المقتدى اسم صفة,"كنت أتوقع أن الإضافة مبنية على أساس نحوي ما. الآن، هل ""المقتدى"" اسم أم صفة؟"
دوخر يهدد يرجع جيش المهدي والبطة,دوخر يهدد بإعادة جيش المهدي والبطة.
الشيوعية والعلمانية مسوين حسابات وهمية بأسم بنات وانتم بخير يومكم العالمي,الشيوعيون والعلمانيون أنشأوا حسابات وهمية بأسماء بنات، وكل عام وأنتم بخير في يومكم العالمي.
كلش مصخته ابد مو يمك ومامنطيك قيمة كافي لعبت رواحن,لقد بالغت في هذه الأمور، وهذا ليس من شأنك، ولا نعطيك أي قيمة. كفى لعبًا.
هاي بعدك هاي السوالف مال الحقد الدفين,هذه هي أحاديث الحقد الدفين.
نشكر الله وجود شخص مقتدى الصدر زمانا لأنه معتدل ومنصف وناصر الفقراء والمظلومين هزم الاحتلال واذنابه امثال البشير والقاعدة والفاسدين وسوف عنوان عالمي لأعتدال رغم انوفكم ياحاقدي,نشكر الله على وجود شخص مثل مقتدى الصدر في زماننا، فهو معتدل ومنصف وناصر للفقراء والمظلومين. لقد هزم الاحتلال وأذنابه، مثل البشير والقاعدة والفاسدين، وأصبح عنوانًا عالميًا للاعتدال، رغم أنوفكم يا حاقدين.
والله يا احمد انته مكبر راسه الهذا التافه عوفه يغرد ميغرد مشكلت,والله يا أحمد، أنت تكبر رأسه لهذا التافه. دعوه يغرد أو لا يغرد، الأمر سيان. ليست هناك مشكلة.
تسلم يا حبيبي,شكرًا لك يا عزيزي.
مقصودة,مقصودة
السخريه انك تعتاش المسخرة,السخرية هي أن تعيش على المسخرة.
نعیش فی بلد یخجل ساسته عزف فتاة لنشیده الوطني لكنهم يخجلون نهب أمواله وسرقة خيراته جهاراً نهارا,نحن نعيش في بلد يخجل ساسته من عزف فتاة للنشيد الوطني، لكنهم لا يخجلون من نهب أمواله وسرقة خيراته جهارًا نهارًا.
بخت,حظ
السلام سيد الاصلاح والمصلحين,السلام عليك يا سيد الإصلاح والمصلحين.
